STATION,Year,LATITUDE,LONGITUDE,ELEVATION,PRCP,SNOW,SNWD,TMAX,TMIN
USC00010583,1951,30.884,-87.7852,82.6,1072.0,0.0,0.0,378.0,256.0
USC00010583,1952,30.884,-87.7852,82.6,1300.0,0.0,0.0,394.0,256.0
USC00010583,1953,30.884,-87.7852,82.6,673.0,0.0,0.0,372.0,256.0
USC00010583,1954,30.884,-87.7852,82.6,866.0,10.0,0.0,389.0,272.0
USC00010583,1955,30.884,-87.7852,82.6,2858.0,89.0,102.0,367.0,250.0
USC00010583,1956,30.884,-87.7852,82.6,1158.0,0.0,0.0,367.0,239.0
USC00010583,1957,30.884,-87.7852,82.6,1514.0,0.0,0.0,361.0,250.0
USC00010583,1958,30.884,-87.7852,82.6,594.0,25.0,0.0,356.0,244.0
USC00010583,1959,30.884,-87.7852,82.6,1295.0,0.0,0.0,350.0,256.0
USC00010583,1960,30.884,-87.7852,82.6,828.0,8.0,0.0,367.0,250.0
USC00010583,1961,30.884,-87.7852,82.6,1575.0,0.0,0.0,344.0,233.0
USC00010583,1962,30.884,-87.7852,82.6,2311.0,0.0,0.0,372.0,267.0
USC00010583,1963,30.884,-87.7852,82.6,711.0,0.0,0.0,406.0,267.0
USC00010583,1964,30.884,-87.7852,82.6,960.0,0.0,0.0,361.0,239.0
USC00010583,1965,30.884,-87.7852,82.6,2273.0,0.0,0.0,350.0,250.0
USC00010583,1966,30.884,-87.7852,82.6,747.0,0.0,0.0,361.0,256.0
USC00010583,1967,30.884,-87.7852,82.6,953.0,0.0,0.0,361.0,244.0
USC00010583,1968,30.884,-87.7852,82.6,691.0,13.0,0.0,361.0,244.0
USC00010583,1969,30.884,-87.7852,82.6,1372.0,0.0,0.0,361.0,256.0
USC00010583,1970,30.884,-87.7852,82.6,752.0,0.0,0.0,367.0,250.0
USC00010583,1971,30.884,-87.7852,82.6,737.0,0.0,0.0,367.0,239.0
USC00010583,1972,30.884,-87.7852,82.6,1173.0,0.0,0.0,361.0,256.0
USC00010583,1973,30.884,-87.7852,82.6,1082.0,114.0,0.0,350.0,244.0
USC00010583,1974,30.884,-87.7852,82.6,945.0,0.0,0.0,356.0,272.0
USC00010583,1975,30.884,-87.7852,82.6,2245.0,0.0,0.0,350.0,244.0
USC00010583,1976,30.884,-87.7852,82.6,785.0,0.0,0.0,361.0,233.0
USC00010583,1977,30.884,-87.7852,82.6,790.0,38.0,0.0,350.0,244.0
USC00010583,1978,30.884,-87.7852,82.6,1257.0,0.0,0.0,372.0,244.0
USC00010583,1979,30.884,-87.7852,82.6,1420.0,0.0,0.0,367.0,244.0
USC00010583,1980,30.884,-87.7852,82.6,1496.0,0.0,0.0,394.0,256.0
USC00010583,1981,30.884,-87.7852,82.6,970.0,0.0,0.0,378.0,250.0
USC00010583,1982,30.884,-87.7852,82.6,554.0,5.0,0.0,367.0,239.0
USC00010583,1983,30.884,-87.7852,82.6,3109.0,0.0,0.0,372.0,244.0
USC00010583,1984,30.884,-87.7852,82.6,1628.0,0.0,0.0,356.0,233.0
USC00010583,1985,30.884,-87.7852,82.6,1793.0,0.0,0.0,383.0,239.0
USC00010583,1986,30.884,-87.7852,82.6,881.0,0.0,0.0,378.0,250.0
USC00010583,1987,30.884,-87.7852,82.6,650.0,0.0,0.0,361.0,244.0
USC00010583,1988,30.884,-87.7852,82.6,925.0,0.0,25.0,383.0,267.0
USC00010583,1989,30.884,-87.7852,82.6,1918.0,0.0,0.0,356.0,250.0
USC00010583,1990,30.884,-87.7852,82.6,1605.0,0.0,0.0,361.0,244.0
USC00010583,1991,30.884,-87.7852,82.6,996.0,0.0,0.0,344.0,239.0
USC00010583,1992,30.884,-87.7852,82.6,874.0,0.0,0.0,350.0,244.0
USC00010583,1993,30.884,-87.7852,82.6,1080.0,76.0,0.0,356.0,250.0
USC00010583,1994,30.884,-87.7852,82.6,714.0,0.0,0.0,339.0,256.0
USC00010583,1995,30.884,-87.7852,82.6,1534.0,0.0,0.0,356.0,250.0
USC00010583,1996,30.884,-87.7852,82.6,1118.0,0.0,0.0,350.0,256.0
USC00010583,1997,30.884,-87.7852,82.6,3957.0,56.0,51.0,356.0,244.0
USC00010583,1998,30.884,-87.7852,82.6,3838.0,0.0,0.0,372.0,261.0
USC00010583,1999,30.884,-87.7852,82.6,1285.0,0.0,0.0,372.0,261.0
USC00010583,2000,30.884,-87.7852,82.6,653.0,0.0,0.0,389.0,267.0
USC00010583,2001,30.884,-87.7852,82.6,988.0,0.0,0.0,344.0,272.0
USC00010583,2002,30.884,-87.7852,82.6,2032.0,0.0,0.0,356.0,244.0
USC00010583,2003,30.884,-87.7852,82.6,2421.0,0.0,0.0,339.0,261.0
USC00010583,2004,30.884,-87.7852,82.6,2286.0,0.0,0.0,344.0,250.0
USC00010583,2005,30.884,-87.7852,82.6,1270.0,0.0,0.0,356.0,256.0
USC00010583,2006,30.884,-87.7852,82.6,1016.0,0.0,0.0,367.0,244.0
USC00010583,2007,30.884,-87.7852,82.6,1016.0,0.0,0.0,400.0,267.0
USC00010583,2008,30.884,-87.7852,82.6,1524.0,0.0,0.0,350.0,267.0
USC00010583,2009,30.884,-87.7852,82.6,1549.0,0.0,0.0,383.0,317.0
USC00010583,2010,30.884,-87.7852,82.6,1524.0,0.0,0.0,383.0,261.0
USC00010583,2011,30.884,-87.7852,82.6,823.0,0.0,0.0,378.0,267.0
USC00010583,2012,30.884,-87.7852,82.6,1651.0,,,356.0,261.0
USC00010583,2013,30.884,-87.7852,82.6,1168.0,,,344.0,261.0
USC00010583,2014,30.884,-87.7852,82.6,1194.0,0.0,0.0,356.0,256.0
USC00010583,2015,30.884,-87.7852,82.6,1016.0,,,367.0,267.0
USC00010583,2016,30.884,-87.7852,82.6,803.0,,,361.0,267.0
USC00010583,2017,30.884,-87.7852,82.6,1397.0,,,344.0,256.0
USC00010583,2018,30.884,-87.7852,82.6,2108.0,,,361.0,267.0
USC00010583,2019,30.884,-87.7852,82.6,826.0,,,361.0,267.0
USC00010583,2020,30.884,-87.7852,82.6,1168.0,,,339.0,261.0
USC00010583,2021,30.884,-87.7852,82.6,1163.0,,,350.0,256.0
USC00010583,2022,30.884,-87.7852,82.6,625.0,,,367.0,261.0
USC00010583,2023,30.884,-87.7852,82.6,508.0,,,378.0,278.0
USC00010583,2024,30.884,-87.7852,82.6,871.0,,,350.0,256.0
USC00012813,1951,30.5468,-87.8807,7.0,1562.0,0.0,0.0,378.0,261.0
USC00012813,1952,30.5468,-87.8807,7.0,1036.0,0.0,0.0,378.0,278.0
USC00012813,1953,30.5468,-87.8807,7.0,935.0,0.0,0.0,372.0,267.0
USC00012813,1954,30.5468,-87.8807,7.0,2489.0,0.0,0.0,378.0,267.0
USC00012813,1955,30.5468,-87.8807,7.0,1194.0,0.0,0.0,350.0,261.0
USC00012813,1956,30.5468,-87.8807,7.0,1270.0,0.0,0.0,361.0,256.0
USC00012813,1957,30.5468,-87.8807,7.0,1232.0,0.0,0.0,361.0,267.0
USC00012813,1958,30.5468,-87.8807,7.0,696.0,0.0,0.0,350.0,250.0
USC00012813,1959,30.5468,-87.8807,7.0,1059.0,0.0,0.0,344.0,261.0
USC00012813,1960,30.5468,-87.8807,7.0,820.0,0.0,0.0,367.0,272.0
USC00012813,1961,30.5468,-87.8807,7.0,1859.0,0.0,0.0,350.0,250.0
USC00012813,1962,30.5468,-87.8807,7.0,767.0,0.0,0.0,361.0,272.0
USC00012813,1963,30.5468,-87.8807,7.0,975.0,0.0,0.0,367.0,272.0
USC00012813,1964,30.5468,-87.8807,7.0,1351.0,0.0,0.0,361.0,261.0
USC00012813,1965,30.5468,-87.8807,7.0,1588.0,0.0,0.0,344.0,250.0
USC00012813,1966,30.5468,-87.8807,7.0,917.0,0.0,0.0,361.0,267.0
USC00012813,1967,30.5468,-87.8807,7.0,1080.0,0.0,0.0,356.0,261.0
USC00012813,1968,30.5468,-87.8807,7.0,714.0,0.0,0.0,350.0,261.0
USC00012813,1969,30.5468,-87.8807,7.0,1562.0,0.0,0.0,361.0,272.0
USC00012813,1970,30.5468,-87.8807,7.0,1163.0,0.0,0.0,356.0,267.0
USC00012813,1971,30.5468,-87.8807,7.0,627.0,0.0,0.0,356.0,261.0
USC00012813,1972,30.5468,-87.8807,7.0,955.0,0.0,0.0,361.0,278.0
USC00012813,1973,30.5468,-87.8807,7.0,1046.0,0.0,0.0,350.0,272.0
USC00012813,1974,30.5468,-87.8807,7.0,1300.0,0.0,0.0,350.0,261.0
USC00012813,1975,30.5468,-87.8807,7.0,1410.0,0.0,0.0,344.0,261.0
USC00012813,1976,30.5468,-87.8807,7.0,1245.0,0.0,0.0,356.0,250.0
USC00012813,1977,30.5468,-87.8807,7.0,752.0,0.0,0.0,361.0,267.0
USC00012813,1978,30.5468,-87.8807,7.0,2858.0,0.0,0.0,356.0,267.0
USC00012813,1979,30.5468,-87.8807,7.0,1247.0,0.0,0.0,350.0,267.0
USC00012813,1980,30.5468,-87.8807,7.0,1389.0,0.0,0.0,383.0,278.0
USC00012813,1981,30.5468,-87.8807,7.0,2187.0,0.0,0.0,367.0,267.0
USC00012813,1982,30.5468,-87.8807,7.0,1064.0,0.0,0.0,350.0,272.0
USC00012813,1983,30.5468,-87.8807,7.0,1354.0,0.0,0.0,356.0,272.0
USC00012813,1984,30.5468,-87.8807,7.0,1458.0,0.0,0.0,350.0,250.0
USC00012813,1985,30.5468,-87.8807,7.0,1486.0,0.0,0.0,350.0,256.0
USC00012813,1986,30.5468,-87.8807,7.0,622.0,0.0,0.0,378.0,272.0
USC00012813,1987,30.5468,-87.8807,7.0,1057.0,0.0,0.0,356.0,261.0
USC00012813,1988,30.5468,-87.8807,7.0,1016.0,0.0,0.0,350.0,272.0
USC00012813,1989,30.5468,-87.8807,7.0,1981.0,0.0,0.0,361.0,256.0
USC00012813,1990,30.5468,-87.8807,7.0,1575.0,0.0,0.0,361.0,261.0
USC00012813,1991,30.5468,-87.8807,7.0,1196.0,0.0,0.0,361.0,261.0
USC00012813,1992,30.5468,-87.8807,7.0,2032.0,0.0,0.0,356.0,267.0
USC00012813,1993,30.5468,-87.8807,7.0,1181.0,0.0,0.0,356.0,261.0
USC00012813,1994,30.5468,-87.8807,7.0,1130.0,0.0,0.0,339.0,261.0
USC00012813,1995,30.5468,-87.8807,7.0,1872.0,0.0,0.0,372.0,272.0
USC00012813,1996,30.5468,-87.8807,7.0,2111.0,0.0,0.0,356.0,267.0
USC00012813,1997,30.5468,-87.8807,7.0,3688.0,0.0,0.0,361.0,267.0
USC00012813,1998,30.5468,-87.8807,7.0,2332.0,0.0,0.0,378.0,278.0
USC00012813,1999,30.5468,-87.8807,7.0,815.0,0.0,0.0,367.0,267.0
USC00012813,2000,30.5468,-87.8807,7.0,777.0,0.0,0.0,389.0,272.0
USC00012813,2001,30.5468,-87.8807,7.0,1867.0,0.0,0.0,350.0,267.0
