STATION,LATITUDE,LONGITUDE,ELEVATION,Est,Nor
USC00010583,30.884,-87.7852,82.6,782301.8823302869,901401.1924825567
USC00012813,30.5468,-87.8807,7.0,776427.659948852,863278.9207872297
USC00020080,32.3698,-112.8599,533.7,-1569968.4881344037,1172627.831100541
USC00020287,31.9793,-111.3837,840.9,-1440782.5194143879,1106345.2518965006
USC00020750,36.6778,-110.5411,2220.8,-1282457.2570140245,1612963.486146135
USC00028162,34.1311,-109.275,2133.0,-1211241.1904257273,1314364.937998881
USC00029542,35.51974,-111.37181,1496.0,-1375985.6796554816,1496494.066485654
USC00030006,35.0237,-94.1594,207.3,166544.29580438527,1331065.5683821144
USC00030130,34.7961,-92.8417,212.8,286585.8913271927,1308752.7018622702
USC00030458,35.8306,-91.7944,174.0,376441.9003995924,1428100.1125854228
USC00031102,34.98174,-92.06366,97.2,356289.2370636364,1332138.0231691636
USC00031152,33.59,-92.8236,35.4,292733.15420289495,1174060.8533602399
USC00033734,35.82436,-90.65499,78.6,478373.2920948933,1432526.8105611461
USC00035186,35.60427,-91.27479,67.1,424175.1770866896,1404977.19782704
USC00041614,41.5301,-120.1791,1428.9,-1980965.9515126627,2311709.4425907005
USC00050848,39.99282,-105.26683,1673.0,-783019.5798265244,1924379.839709975
USC00051660,39.3671,-106.1898,3457.7,-868226.515798382,1862645.6378108591
USC00051713,38.44313,-106.76156,2440.2,-928443.1034507216,1765117.7999410061
USC00052184,37.69099,-106.30791,2391.2,-898587.9157039641,1676972.2097980706
USC00052281,39.62455,-106.03353,2767.9,-851920.8067616576,1889920.2978862708
USC00053005,40.57629,-105.08575,1525.2,-761526.2765147197,1987969.3971365301
USC00053496,40.2669,-105.8322,2657.9,-827454.6552512653,1959723.2943819645
USC00053951,37.74933,-107.095,2727.7,-966139.5077922303,1691191.4366185553
USC00054082,40.5454,-102.3412,1152.1,-532136.8911605462,1965838.9802687964
USC00057936,40.4883,-106.8233,2092.8,-907700.4058584198,1993427.47647764
USC00058931,38.13137,-105.466,2399.7,-820540.067498764,1718448.5444264703
USC00080478,27.88634,-81.83255,34.1,1395194.768130026,639602.8595323281
USC00083163,26.1019,-80.2011,4.9,1586968.7509852522,471141.0241796441
USC00083207,27.4419,-80.3508,7.6,1547895.8887825499,614115.4798238665
USC00086240,30.5316,-86.4928,22.6,908907.1424246166,873904.1032174903
USC00087205,28.02091,-82.13923,33.2,1363050.7449848005,649849.2155541325
USC00091982,34.8879,-83.3966,598.9,1139141.0834519635,1389907.2992172253
USC00102707,44.24364,-112.20033,1661.2,-1283786.3165304128,2471172.354694763
USC00103297,43.03315,-112.43245,1357.6,-1325238.4941362115,2341266.922278406
USC00105275,42.123,-111.3133,1809.0,-1252115.7832558698,2225769.784163069
USC00106542,42.23379,-113.89237,1389.6,-1458363.325577548,2274754.595305777
USC00107386,48.3512,-116.8354,722.7,-1546812.9049107148,2987111.6909599295
USC00110072,41.20693,-90.74187,223.7,437253.93111747125,2034259.3073102026
USC00110338,41.78038,-88.30925,205.7,633984.7621948846,2112009.3630550047
USC00111436,39.4762,-88.1652,213.4,667084.2759059874,1855795.1064936067
USC00112140,40.1391,-87.6479,169.2,704499.0609019002,1933540.809775891
USC00114198,40.4664,-87.6851,216.4,698165.1826027891,1969792.2334966308
USC00120177,40.1167,-85.68131,256.9,870062.6843185525,1947335.153333532
USC00120676,40.6683,-84.93,255.7,925953.9150766218,2015835.6678397525
USC00123418,41.5575,-85.8825,266.7,836018.3039348717,2105945.5308955945
USC00130385,41.7069,-94.9222,390.1,89036.41509452582,2078624.8573311593
USC00130600,41.88136,-92.27642,234.4,306766.40059357067,2103650.846124738
USC00131233,42.065,-94.85,378.0,94515.80949615655,2118754.959443818
USC00131319,42.0496,-91.5881,247.8,362562.3486118706,2124878.281561328
USC00131394,41.0163,-93.2791,294.1,226959.1701952805,2004065.493141654
USC00132110,43.3043,-91.7952,262.1,339352.4724305429,2264196.179577237
USC00132171,42.0363,-95.3288,427.0,55187.900111950905,2115167.7945942776
USC00132603,42.7754,-91.4537,240.2,369718.6072224731,2206452.781641891
USC00132999,42.5836,-94.2005,339.9,146793.82072449676,2177561.2135966886
USC00133584,42.756,-93.202,336.8,227659.53202672338,2198791.5321392496
USC00134561,43.40347,-95.30828,442.6,55763.29840118742,2267962.613809478
USC00137161,42.3969,-94.6291,370.0,112134.61485159879,2156108.438448366
USC00140365,37.1941,-99.7632,600.5,-330818.03112766956,1579056.6083216646
USC00141522,37.8133,-100.3456,823.9,-378810.8020549222,1650561.851735562
USC00142432,37.0057,-101.8866,1097.0,-518594.3777609828,1567461.6275411637
USC00142835,37.81718,-94.69872,269.4,113464.19407704835,1643111.25011263
USC00162534,30.0719,-91.0278,9.1,478598.43469919387,789877.9331980506
USC00164674,29.95938,-91.71118,5.2,413431.47209022567,774198.5285482825
USC00170814,45.6602,-69.8119,325.8,2016160.6153026626,2798693.125535689
USC00181790,39.64034,-77.69778,162.2,1546939.2175337179,1996098.4707602488
USC00186620,39.41317,-79.40025,737.6,1409010.37668212,1944589.364051179
USC00192451,41.7653,-70.6697,9.1,2066158.2974625006,2361655.21360368
USC00200146,43.38686,-84.64818,221.9,913181.9740821839,2320510.501354307
USC00200230,42.29806,-83.66388,247.8,1007682.8520654056,2209743.1381522166
USC00200718,46.5869,-89.5475,396.2,495743.92943498166,2638783.5847663432
USC00201468,45.3172,-85.2672,180.7,839362.9457819753,2528452.749579478
USC00201492,45.65225,-84.47239,177.4,896720.7089597142,2572697.116856912
USC00203391,44.64536,-84.69921,350.8,892447.9828028954,2459365.6961431466
USC00204090,45.7858,-88.0841,326.4,615334.4470128481,2558720.9067280316
USC00204502,44.3088,-85.205,374.9,856930.7733442273,2417467.9374034246
USC00205065,44.2113,-86.2938,204.2,771925.2198041282,2397332.4854353997
USC00207812,46.0555,-88.6275,442.0,570861.4569827742,2585174.214074996
USC00208417,45.1702,-84.4397,275.8,905753.6311090437,2519814.3173811007
USC00210287,45.38564,-96.12578,334.7,-9847.361476963606,2488620.529988942
USC00211691,45.5794,-94.392,368.8,125523.05198346499,2511211.713465958
USC00213303,47.2436,-93.4975,399.3,190478.1443679694,2697144.537240632
