LATITUDE,LONGITUDE,ELEVATION,loc,scale,shape
59.85,-149.85,-32768,195.16525,3.627767,0.1189376
59.85,-149.54999999999998,-32768,205.45425,3.6719768,0.1189376
59.85,-149.25,-32768,186.5146,3.5957115,0.1189376
59.85,-148.95,-32768,171.68883,3.5365782,0.1189376
59.85,-148.65,-32768,164.22873,3.5078802,0.1189376
59.85,-148.35,-32768,139.7958,3.4093678,0.1189376
59.85,-148.04999999999998,-32768,139.57024,3.4107442,0.1189376
59.85,-147.75,-32768,130.33478,3.375016,0.1189376
59.85,-147.45,-32768,153.08188,3.471079,0.1189376
59.85,-147.15,-32768,149.17184,3.4571612,0.1189376
59.85,-146.85,-32768,156.56354,3.4897952,0.1189376
59.85,-146.54999999999998,-32768,161.38782,3.5118008,0.1189376
59.85,-146.25,-32768,170.60262,3.5518456,0.1189376
59.85,-145.95,-32768,167.0148,3.539066,0.1189376
59.85,-145.65,-32768,167.74677,3.54413,0.1189376
59.85,-145.35,-32768,188.02182,3.6296525,0.1189376
59.85,-145.04999999999998,-32768,197.56615,3.6708212,0.1189376
59.85,-144.75,-32768,220.83775,3.768453,0.1189376
59.85,-144.45,-32768,204.47798,3.7026348,0.1189376
59.85,-144.15,-32768,198.60516,3.6802015,0.1189376
59.85,-143.85,-32768,199.31366,3.6848826,0.1189376
59.85,-143.54999999999998,-32768,204.08438,3.70631,0.1189376
59.85,-143.25,-32768,201.02802,3.6954527,0.1189376
59.85,-142.95,-32768,216.97473,3.762897,0.1189376
59.85,-142.65,-32768,206.60147,3.7217994,0.1189376
59.85,-142.35,-32768,219.23041,3.7755406,0.1189376
59.85,-142.04999999999998,-32768,232.16406,3.8304377,0.1189376
59.85,-141.75,-32768,238.81953,3.8593755,0.1189376
59.85,-141.45,-32768,243.86075,3.8816216,0.1189376
59.85,-141.15,21,260.6804,4.481996,0.1189376
59.85,-140.85,251,287.96622,4.5995336,0.1189376
59.85,-140.54999999999998,342,281.9352,4.577393,0.1189376
59.85,-140.25,133,257.25787,4.473658,0.1189376
59.85,-139.95,25,259.95306,4.48449,0.1189376
59.85,-139.65,-32768,244.80576,3.893852,0.1189376
59.85,-139.35,233,260.16245,4.491669,0.1189376
59.85,-139.04999999999998,-32768,247.3194,3.9071689,0.1189376
59.85,-138.75,785,286.0261,4.610084,0.1189376
59.85,-138.45,-32768,285.4073,4.066844,0.1189376
59.85,-138.15,-32768,274.65143,4.023734,0.1189376
59.85,-137.85,-32768,253.9903,3.9399517,0.1189376
59.85,-137.54999999999998,-32768,245.73914,3.907425,0.1189376
59.85,-137.25,-32768,287.23474,4.079909,0.1189376
59.85,-136.95,-32768,266.3661,3.9951882,0.1189376
59.85,-136.65,-32768,279.3811,4.050187,0.1189376
59.85,-136.35,-32768,272.62894,4.0236955,0.1189376
59.85,-136.04999999999998,-32768,281.03287,4.0596943,0.1189376
59.85,-135.75,-32768,278.92456,4.0523376,0.1189376
59.85,-135.45,-32768,273.0777,4.029611,0.1189376
59.85,-135.15,-32768,270.5786,4.0207305,0.1189376
59.85,-134.85,-32768,266.18884,4.0040736,0.1189376
59.85,-134.54999999999998,-32768,282.25323,4.07172,0.1189376
59.85,-134.25,-32768,296.18622,4.1304603,0.1189376
59.85,-133.95,-32768,286.0373,4.089939,0.1189376
59.85,-133.65,-32768,282.133,4.0752077,0.1189376
59.85,-133.35,-32768,292.3251,4.118589,0.1189376
59.85,-133.04999999999998,-32768,283.62665,4.0841074,0.1189376
59.85,-132.75,-32768,282.66684,4.0815606,0.1189376
59.85,-132.45,-32768,286.16327,4.0973706,0.1189376
59.85,-132.15,-32768,287.99677,4.1063447,0.1189376
59.85,-131.85,-32768,259.6214,3.9908738,0.1189376
59.85,-131.54999999999998,-32768,251.08679,3.957327,0.1189376
59.85,-131.25,-32768,236.40344,3.8985562,0.1189376
59.85,-130.95,-32768,202.70898,3.761559,0.1189376
59.85,-130.65,-32768,211.138,3.7983475,0.1189376
59.85,-130.35,-32768,248.22641,3.9531093,0.1189376
59.85,-130.04999999999998,-32768,246.6995,3.9485278,0.1189376
59.85,-129.75,-32768,255.20992,3.985327,0.1189376
59.85,-129.45,-32768,255.4635,3.9880412,0.1189376
59.85,-129.15,-32768,242.04466,3.934462,0.1189376
59.85,-128.85,-32768,247.02168,3.9567318,0.1189376
59.85,-128.54999999999998,-32768,236.61942,3.915628,0.1189376
59.85,-128.25,-32768,247.99718,3.9643333,0.1189376
59.85,-127.95,-32768,248.776,3.9692762,0.1189376
59.85,-127.65,-32768,239.70517,3.9336743,0.1189376
59.85,-127.35,-32768,244.07349,3.953468,0.1189376
59.85,-127.05,-32768,239.78583,3.9375951,0.1189376
59.85,-126.75,-32768,233.3293,3.9128134,0.1189376
59.85,-126.45,-32768,246.98296,3.970938,0.1189376
59.85,-126.15,-32768,246.79175,3.9719257,0.1189376
59.85,-125.85,-32768,253.08412,3.9996088,0.1189376
59.85,-125.55,-32768,236.73782,3.9339957,0.1189376
59.85,-125.25,-32768,226.93123,3.8954673,0.1189376
59.85,-124.95,-32768,240.42134,3.9529757,0.1189376
59.85,-124.65,-32768,218.29404,3.8636692,0.1189376
59.85,-124.35,-32768,242.21713,3.964211,0.1189376
59.85,-124.05,-32768,243.18974,3.9700637,0.1189376
59.85,-123.75,-32768,257.40405,4.030382,0.1189376
59.85,-123.45,-32768,260.58932,4.0452647,0.1189376
59.85,-123.15,-32768,276.1716,4.1111484,0.1189376
59.85,-122.85,-32768,259.8081,4.0453124,0.1189376
59.85,-122.55,-32768,249.3389,4.003906,0.1189376
59.85,-122.25,-32768,224.02208,3.9014268,0.1189376
59.85,-121.95,-32768,212.92676,3.8577576,0.1189376
59.85,-121.65,-32768,215.9507,3.872305,0.1189376
59.85,-121.35,-32768,216.5705,3.876923,0.1189376
59.85,-121.05,-32768,202.11632,3.8194618,0.1189376
59.85,-120.75,-32768,202.90077,3.824856,0.1189376
59.85,-120.45,-32768,206.87277,3.843395,0.1189376
59.85,-120.15,-32768,202.63345,3.8280766,0.1189376
59.85,-119.85,-32768,188.86652,3.7735548,0.1189376
59.85,-119.55,-32768,191.03337,3.7847679,0.1189376
59.85,-119.25,-32768,202.62778,3.8347926,0.1189376
59.85,-118.95,-32768,216.13174,3.8925908,0.1189376
59.85,-118.65,-32768,210.62201,3.8719766,0.1189376
59.85,-118.35,-32768,199.48535,3.8282337,0.1189376
59.85,-118.05,-32768,201.6363,3.8393157,0.1189376
59.85,-117.75,-32768,212.40395,3.8858907,0.1189376
59.85,-117.45,-32768,218.8073,3.9143755,0.1189376
59.85,-117.15,-32768,212.0707,3.8887346,0.1189376
59.85,-116.85,-32768,226.53265,3.9504356,0.1189376
59.85,-116.55,-32768,212.9926,3.8966916,0.1189376
59.85,-116.25,-32768,209.13156,3.8829632,0.1189376
59.85,-115.95,-32768,195.49472,3.8289752,0.1189376
59.85,-115.65,-32768,190.4596,3.8105338,0.1189376
59.85,-115.35,-32768,190.78549,3.8142066,0.1189376
59.85,-115.05,-32768,173.10605,3.7437322,0.1189376
59.85,-114.75,-32768,158.0094,3.68402,0.1189376
59.85,-114.45,-32768,141.28467,3.617761,0.1189376
59.85,-114.15,-32768,152.57681,3.6669917,0.1189376
59.85,-113.85,-32768,156.22589,3.6847131,0.1189376
59.85,-113.55,-32768,154.96872,3.6821175,0.1189376
59.85,-113.25,-32768,149.69952,3.663026,0.1189376
59.85,-112.95,-32768,145.56854,3.6487017,0.1189376
59.85,-112.65,-32768,120.723465,3.5490603,0.1189376
59.85,-112.35,-32768,117.2095,3.5375001,0.1189376
59.85,-112.05,-32768,131.56052,3.599544,0.1189376
59.85,-111.75,-32768,141.54056,3.6434336,0.1189376
59.85,-111.45,-32768,125.32223,3.5793726,0.1189376
59.85,-111.15,-32768,153.5714,3.6986,0.1189376
59.85,-110.85,-32768,141.26384,3.6505115,0.1189376
59.85,-110.55,-32768,143.81651,3.663762,0.1189376
59.85,-110.25,-32768,133.1747,3.6226413,0.1189376
59.85,-109.95,-32768,110.79774,3.533263,0.1189376
