LATITUDE,LONGITUDE,ELEVATION,loc,scale,shape
59.85,-149.85,-32768,338.45602,3.257033,0.13677537
59.85,-149.54999999999998,-32768,356.27335,3.3125124,0.13677537
59.85,-149.25,-32768,324.0479,3.2119129,0.13677537
59.85,-148.95,-32768,298.89505,3.1335034,0.13677537
59.85,-148.65,-32768,286.3517,3.094509,0.13677537
59.85,-148.35,-32768,244.77586,2.9650602,0.13677537
59.85,-148.04999999999998,-32768,244.65744,2.9650097,0.13677537
59.85,-147.75,-32768,229.11743,2.9168808,0.13677537
59.85,-147.45,-32768,268.32257,3.039473,0.13677537
59.85,-147.15,-32768,261.88113,3.0195777,0.13677537
59.85,-146.85,-32768,274.77594,3.059977,0.13677537
59.85,-146.54999999999998,-32768,283.26495,3.086599,0.13677537
59.85,-146.25,-32768,299.26498,3.1365783,0.13677537
59.85,-145.95,-32768,293.33664,3.1181154,0.13677537
59.85,-145.65,-32768,294.80618,3.1227555,0.13677537
59.85,-145.35,-32768,329.7157,3.2316136,0.13677537
59.85,-145.04999999999998,-32768,346.23712,3.283001,0.13677537
59.85,-144.75,-32768,386.23706,3.4075217,0.13677537
59.85,-144.45,-32768,358.36356,3.3202848,0.13677537
59.85,-144.15,-32768,348.48032,3.2892404,0.13677537
59.85,-143.85,-32768,349.84305,3.2933097,0.13677537
59.85,-143.54999999999998,-32768,358.15997,3.3190446,0.13677537
59.85,-143.25,-32768,353.06754,3.3029518,0.13677537
59.85,-142.95,-32768,380.50446,3.38828,0.13677537
59.85,-142.65,-32768,362.86298,3.3329759,0.13677537
59.85,-142.35,-32768,384.59656,3.4005191,0.13677537
59.85,-142.04999999999998,-32768,406.8415,3.4695463,0.13677537
59.85,-141.75,-32768,418.31183,3.5049152,0.13677537
59.85,-141.45,-32768,427.01312,3.5316079,0.13677537
59.85,-141.15,21,442.61453,4.85139,0.13677537
59.85,-140.85,251,489.2743,5.005303,0.13677537
59.85,-140.54999999999998,342,478.92535,4.9759455,0.13677537
59.85,-140.25,133,436.7841,4.835882,0.13677537
59.85,-139.95,25,441.46988,4.8458996,0.13677537
59.85,-139.65,-32768,428.8165,3.5342634,0.13677537
59.85,-139.35,233,441.77713,4.854138,0.13677537
59.85,-139.04999999999998,-32768,433.1287,3.5469654,0.13677537
59.85,-138.75,785,485.8216,5.0121045,0.13677537
59.85,-138.45,-32768,498.27185,3.7491748,0.13677537
59.85,-138.15,-32768,479.78986,3.6909735,0.13677537
59.85,-137.85,-32768,444.3737,3.580059,0.13677537
59.85,-137.54999999999998,-32768,430.19092,3.5355198,0.13677537
59.85,-137.25,-32768,501.17242,3.7565432,0.13677537
59.85,-136.95,-32768,465.34616,3.6443458,0.13677537
59.85,-136.65,-32768,487.52197,3.71312,0.13677537
59.85,-136.35,-32768,475.8465,3.6763082,0.13677537
59.85,-136.04999999999998,-32768,490.10236,3.720414,0.13677537
59.85,-135.75,-32768,486.35785,3.708347,0.13677537
59.85,-135.45,-32768,476.18826,3.6763275,0.13677537
59.85,-135.15,-32768,471.75922,3.6622381,0.13677537
59.85,-134.85,-32768,464.0595,3.6380196,0.13677537
59.85,-134.54999999999998,-32768,491.37793,3.7230139,0.13677537
59.85,-134.25,-32768,515.00476,3.7964358,0.13677537
59.85,-133.95,-32768,497.39874,3.7412436,0.13677537
59.85,-133.65,-32768,490.46136,3.7194264,0.13677537
59.85,-133.35,-32768,507.65274,3.77287,0.13677537
59.85,-133.04999999999998,-32768,492.49078,3.7254257,0.13677537
59.85,-132.75,-32768,490.55463,3.7193184,0.13677537
59.85,-132.45,-32768,496.22824,3.7369707,0.13677537
59.85,-132.15,-32768,499.05206,3.745739,0.13677537
59.85,-131.85,-32768,450.14252,3.5932665,0.13677537
59.85,-131.54999999999998,-32768,435.20267,3.546897,0.13677537
59.85,-131.25,-32768,409.73892,3.4678283,0.13677537
59.85,-130.95,-32768,351.7185,3.2873902,0.13677537
59.85,-130.65,-32768,365.83014,3.3320663,0.13677537
59.85,-130.35,-32768,428.95944,3.5295448,0.13677537
59.85,-130.04999999999998,-32768,425.92932,3.5205772,0.13677537
59.85,-129.75,-32768,440.06824,3.5651965,0.13677537
59.85,-129.45,-32768,440.05136,3.5656323,0.13677537
59.85,-129.15,-32768,416.61285,3.4931176,0.13677537
59.85,-128.85,-32768,424.64398,3.5188518,0.13677537
59.85,-128.54999999999998,-32768,406.33826,3.4624643,0.13677537
59.85,-128.25,-32768,425.29767,3.5223868,0.13677537
59.85,-127.95,-32768,426.07965,3.5256033,0.13677537
59.85,-127.65,-32768,409.98743,3.4762828,0.13677537
59.85,-127.35,-32768,416.8763,3.498708,0.13677537
59.85,-127.05,-32768,408.9318,3.474908,0.13677537
59.85,-126.75,-32768,397.25623,3.4395552,0.13677537
59.85,-126.45,-32768,419.9923,3.5115871,0.13677537
59.85,-126.15,-32768,418.9895,3.5095778,0.13677537
59.85,-125.85,-32768,429.0581,3.5421493,0.13677537
59.85,-125.55,-32768,400.3548,3.4538555,0.13677537
59.85,-125.25,-32768,382.84256,3.400631,0.13677537
59.85,-124.95,-32768,405.19495,3.4717946,0.13677537
59.85,-124.65,-32768,366.55035,3.3527753,0.13677537
59.85,-124.35,-32768,406.72388,3.479683,0.13677537
59.85,-124.05,-32768,407.5795,3.4839237,0.13677537
59.85,-123.75,-32768,431.04572,3.5587225,0.13677537
59.85,-123.45,-32768,435.6325,3.5746448,0.13677537
59.85,-123.15,-32768,461.40463,3.6566448,0.13677537
59.85,-122.85,-32768,432.45157,3.5680096,0.13677537
59.85,-122.55,-32768,413.579,3.511007,0.13677537
59.85,-122.25,-32768,369.2948,3.3749106,0.13677537
59.85,-121.95,-32768,349.36905,3.3149915,0.13677537
59.85,-121.65,-32768,353.58997,3.3305001,0.13677537
59.85,-121.35,-32768,353.67508,3.3331602,0.13677537
59.85,-121.05,-32768,327.94086,3.2553937,0.13677537
59.85,-120.75,-32768,328.27002,3.259066,0.13677537
59.85,-120.45,-32768,334.04477,3.2797785,0.13677537
59.85,-120.15,-32768,325.7441,3.2566555,0.13677537
59.85,-119.85,-32768,301.1099,3.1827288,0.13677537
59.85,-119.55,-32768,303.7633,3.194001,0.13677537
59.85,-119.25,-32768,322.51346,3.255551,0.13677537
